woman,1
after,2
caps,3
sprinklers,4
foreground,5
skiing,6
tongue,7
picnic,8
smaller,9
cats,10
body,11
this,12
play,13
sooners,14
block,15
shepherd,16
man,17
tug,18
diving,19
hoodie,20
near,21
lawn,22
reaches,23
at,24
float,25
cold,26
splash,27
merrygoround,28
reads,29
bleachers,30
sun,31
scales,32
bear,33
pulling,34
deer,35
kisses,36
suits,37
petting,38
fun,39
of,40
soda,41
store,42
rough,43
friend,44
narrow,45
tulips,46
tennis,47
game,48
furry,49
young,50
gentleman,51
crying,52
dead,53
jean,54
ice,55
upsidedown,56
frame,57
fast,58
stream,59
scarves,60
raising,61
old,62
fruit,63
other,64
endseq,65
intersection,66
professional,67
balloons,68
men,69
lap,70
climber,71
funny,72
before,73
puck,74
boogie,75
person,76
beads,77
gold,78
some,79
ramp,80
greyhound,81
station,82
boats,83
arts,84
track,85
boarding,86
talk,87
away,88
athletic,89
perform,90
chases,91
be,92
without,93
another,94
view,95
river,96
hats,97
brush,98
bandanna,99
hard,100
stretches,101
smile,102
khaki,103
style,104
airplane,105
appear,106
wagon,107
guys,108
drive,109
strange,110
ribbons,111
driving,112
officer,113
rollerblading,114
watch,115
grab,116
animals,117
path,118
seated,119
natural,120
bearded,121
railings,122
tie,123
cast,124
wheelchair,125
fans,126
ladies,127
mountains,128
walks,129
infant,130
football,131
gets,132
jumps,133
vehicle,134
rests,135
barrier,136
tents,137
work,138
courtyard,139
bars,140
skater,141
friends,142
laughs,143
enclosed,144
gather,145
canoe,146
tossing,147
sideways,148
snowcapped,149
colored,150
blowing,151
flying,152
getting,153
swimsuit,154
making,155
karate,156
vendor,157
position,158
carriage,159
rural,160
comes,161
arms,162
tracks,163
she,164
stroller,165
dock,166
show,167
window,168
pack,169
metal,170
pirate,171
backpacks,172
string,173
its,174
beam,175
rock,176
home,177
races,178
biking,179
blanket,180
low,181
stair,182
helping,183
does,184
curve,185
tripod,186
talking,187
woods,188
skate,189
wind,190
stove,191
motorcyclist,192
holds,193
hiking,194
camel,195
take,196
paddling,197
toilet,198
kicking,199
dreadlocks,200
